Player_ID,Final_Group,Difficulty_Recommendation
RggRt45#4697369,Struggling,Decrease Difficulty
JohniceRex#9176033,Struggling,Decrease Difficulty
bootybootykill#1892064,Struggling,Decrease Difficulty
JNaCo#5244172,Struggling,Decrease Difficulty
gomezyayo_007#6596687,Struggling,Decrease Difficulty
Brxndoon7-LK#4002715,Overperforming,Increase Difficulty
bdooory_ab#7095171,Balanced,Keep Difficulty Same
ahevepluto#3505304,Balanced,Keep Difficulty Same
MilkyLemonz-_-#5981249,Overperforming,Increase Difficulty
RPDUNKduo#8122914,Balanced,Keep Difficulty Same
BOBOQQ3#7928912,Struggling,Decrease Difficulty
Rachetevolution,Struggling,Decrease Difficulty
CzarnyDelfinek#9059572,Balanced,Keep Difficulty Same
Damian291207#7986887,Struggling,Decrease Difficulty
SanDrasoSa,Balanced,Keep Difficulty Same
DrunkUnc92#7705654,Balanced,Keep Difficulty Same
whoshotghost#1916366,Balanced,Keep Difficulty Same
Nsory_1#5583298,Overperforming,Increase Difficulty
LimpThaDon,Balanced,Keep Difficulty Same
DeGiove#5248918,Overperforming,Increase Difficulty
TawheedAhmed42,Struggling,Decrease Difficulty
teruteru_yt_#6461227,Balanced,Keep Difficulty Same
edgexgaming8901#9276950,Balanced,Keep Difficulty Same
BrunoMarchione,Struggling,Decrease Difficulty
SlaPzz#6879518,Balanced,Keep Difficulty Same
ferni775#9063204,Struggling,Decrease Difficulty
HORUS REED#8123889,Balanced,Keep Difficulty Same
CohesiveMango93#8505922,Balanced,Keep Difficulty Same
Bobdustt#2422031,Balanced,Keep Difficulty Same
caliopez99#8569536,Struggling,Decrease Difficulty
EH4B_367#1401846,Balanced,Keep Difficulty Same
sammy7227#7543148,Struggling,Decrease Difficulty
WilcyWilson#2599001,Struggling,Decrease Difficulty
URjustBADXD#7190593,Struggling,Decrease Difficulty
DaydayLadd96#1594916,Balanced,Keep Difficulty Same
S3ND3RBUB12#9216137,Balanced,Keep Difficulty Same
Die#1566463,Balanced,Keep Difficulty Same
Jay-WKT#9248671,Balanced,Keep Difficulty Same
